Namespace(activation='maxmin', batch_size=128, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, n=100, opt_level='O2', out_dir='LipConvnet_cifar10_n=100_4_soc_32_maxmin_cr0.0', seed=0, weight_decay=0.0005)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Test Loss 	 
0 	 3.4 	 0.1000 	 -0.0366 	 -0.0033
1 	 1.8 	 0.1000 	 -0.0488 	 -0.0172
2 	 1.0 	 0.1000 	 -0.0684 	 -0.0046
3 	 1.0 	 0.1000 	 -0.0872 	 -0.0031
4 	 1.0 	 0.1000 	 -0.1524 	 -0.0058
5 	 1.7 	 0.1000 	 -0.1986 	 -0.0303
6 	 1.0 	 0.1000 	 -0.2732 	 -0.0135
7 	 1.8 	 0.1000 	 -0.3922 	 -0.0456
8 	 1.0 	 0.1000 	 -0.5292 	 -0.0055
9 	 1.0 	 0.1000 	 -0.7221 	 -0.0023
10 	 1.6 	 0.1000 	 -0.7526 	 -0.1231
11 	 1.0 	 0.1000 	 -0.9326 	 -0.0605
12 	 1.0 	 0.1000 	 -1.1109 	 -0.0054
13 	 1.0 	 0.1000 	 -1.1483 	 -0.0523
14 	 1.0 	 0.1000 	 -1.2360 	 -0.0288
15 	 1.0 	 0.1000 	 -1.6171 	 -0.1217
16 	 1.7 	 0.1000 	 -1.3538 	 -0.1376
17 	 1.8 	 0.1000 	 -1.2776 	 -0.1641
18 	 1.0 	 0.1000 	 -1.4739 	 -0.1151
19 	 1.0 	 0.1000 	 -1.6382 	 -0.1145
20 	 1.0 	 0.1000 	 -1.3675 	 -0.0636
21 	 1.0 	 0.1000 	 -2.0292 	 -0.0930
22 	 1.7 	 0.1000 	 -1.3840 	 -0.2186
23 	 1.0 	 0.1000 	 -1.6786 	 -0.0290
24 	 1.7 	 0.1000 	 -1.7250 	 -0.3481
25 	 1.0 	 0.1000 	 -1.8036 	 -0.0748
26 	 1.0 	 0.1000 	 -2.1862 	 -0.2306
27 	 1.0 	 0.1000 	 -1.8265 	 -0.2387
28 	 1.0 	 0.1000 	 -1.9665 	 -0.0839
29 	 1.0 	 0.1000 	 -2.1687 	 -0.0688
30 	 1.0 	 0.1000 	 -1.5157 	 -0.0547
31 	 1.8 	 0.1000 	 -1.8416 	 -0.4249
32 	 1.0 	 0.1000 	 -2.1474 	 -0.2878
33 	 1.0 	 0.1000 	 -2.1929 	 -0.0706
34 	 1.0 	 0.1000 	 -1.6718 	 -0.1499
35 	 1.8 	 0.1000 	 -1.9307 	 -0.4463
36 	 1.0 	 0.1000 	 -2.1040 	 -0.2105
37 	 1.6 	 0.1000 	 -1.5097 	 -0.5277
38 	 1.0 	 0.1000 	 -1.6122 	 -0.0340
39 	 1.0 	 0.1000 	 -2.1618 	 -0.0775
40 	 1.0 	 0.1000 	 -2.5649 	 -0.3890
41 	 1.0 	 0.1000 	 -2.0299 	 -0.2495
42 	 1.0 	 0.1000 	 -1.9894 	 -0.0769
43 	 1.0 	 0.1000 	 -1.8608 	 -0.3000
