Namespace(activation='maxmin', batch_size=128, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, n=6000, opt_level='O2', out_dir='LipConvnet_cifar10_n=6000_4_soc_32_maxmin_cr0.0', seed=0, weight_decay=0.0005)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Test Loss 	 
0 	 22.7 	 0.1000 	 -0.4278 	 -0.7303
1 	 19.6 	 0.1000 	 -0.5078 	 -0.7149
2 	 20.3 	 0.1000 	 -0.6140 	 -0.5526
3 	 19.6 	 0.1000 	 -0.6153 	 -0.6255
4 	 20.3 	 0.1000 	 -0.6738 	 -0.6251
5 	 19.6 	 0.1000 	 -0.7272 	 -0.6723
6 	 20.3 	 0.1000 	 -0.7580 	 -0.6420
7 	 19.6 	 0.1000 	 -0.5507 	 -0.6559
8 	 21.4 	 0.1000 	 -0.7494 	 -0.8700
9 	 19.5 	 0.1000 	 -0.5370 	 -0.6263
10 	 20.3 	 0.1000 	 -0.6323 	 -0.6717
11 	 19.5 	 0.1000 	 -0.6390 	 -0.6741
12 	 20.3 	 0.1000 	 -0.6471 	 -0.7651
13 	 19.6 	 0.1000 	 -0.7064 	 -0.7428
14 	 20.4 	 0.1000 	 -0.6605 	 -0.7893
15 	 19.6 	 0.1000 	 -0.6983 	 -0.5749
16 	 19.6 	 0.1000 	 -0.8349 	 -0.7312
17 	 20.3 	 0.1000 	 -0.7026 	 -0.6537
18 	 20.4 	 0.1000 	 -0.6883 	 -0.8987
19 	 20.3 	 0.1000 	 -0.6689 	 -0.6532
20 	 19.5 	 0.1000 	 -0.7566 	 -0.8046
21 	 20.3 	 0.1000 	 -0.7829 	 -0.6455
22 	 19.5 	 0.1000 	 -0.7050 	 -0.6667
23 	 20.3 	 0.1000 	 -0.7168 	 -0.8050
24 	 19.5 	 0.1000 	 -0.6018 	 -0.5000
25 	 20.3 	 0.1000 	 -0.7717 	 -0.6006
26 	 19.5 	 0.1000 	 -0.6037 	 -0.6213
27 	 20.3 	 0.1000 	 -0.6843 	 -0.6513
28 	 19.5 	 0.1000 	 -0.8142 	 -0.7698
29 	 20.3 	 0.1000 	 -0.6993 	 -0.5903
30 	 19.5 	 0.1000 	 -0.6371 	 -0.6720
31 	 20.3 	 0.1000 	 -0.7537 	 -0.6371
32 	 19.5 	 0.1000 	 -0.7261 	 -0.7958
33 	 19.6 	 0.1000 	 -0.6519 	 -0.6723
34 	 20.3 	 0.1000 	 -0.5931 	 -0.6412
35 	 19.5 	 0.1000 	 -0.7418 	 -0.6101
36 	 20.3 	 0.1000 	 -0.6714 	 -0.8140
37 	 19.5 	 0.1000 	 -0.8744 	 -0.7053
38 	 20.3 	 0.1000 	 -0.6112 	 -0.8017
39 	 19.6 	 0.1000 	 -0.7589 	 -0.8348
40 	 20.3 	 0.1000 	 -0.7021 	 -0.5937
41 	 19.5 	 0.1000 	 -0.8860 	 -0.7784
42 	 20.3 	 0.1000 	 -0.7887 	 -0.8446
43 	 19.6 	 0.1000 	 -0.6613 	 -0.6843
44 	 20.3 	 0.1000 	 -0.7005 	 -0.5382
45 	 19.5 	 0.1000 	 -0.6215 	 -0.8156
46 	 20.2 	 0.1000 	 -0.8063 	 -0.6469
47 	 20.6 	 0.1000 	 -0.6466 	 -0.9165
48 	 20.4 	 0.1000 	 -0.6717 	 -0.7361
49 	 19.5 	 0.1000 	 -0.7322 	 -0.6956
50 	 19.5 	 0.1000 	 -0.9455 	 -0.7425
51 	 20.3 	 0.1000 	 -0.6373 	 -0.7121
