Namespace(activation='maxmin', batch_size=128, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, n=1000, opt_level='O2', out_dir='LipConvnet_cifar10_n=1000_4_soc_32_maxmin_cr0.0', seed=0, weight_decay=0.0005)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Test Loss 	 
0 	 7.1 	 0.1000 	 -0.0344 	 -0.1173
1 	 5.0 	 0.1000 	 -0.1228 	 -0.3534
2 	 4.9 	 0.1000 	 -0.8094 	 -0.5966
3 	 3.9 	 0.1000 	 -0.6340 	 -0.4435
4 	 4.9 	 0.1000 	 -0.6857 	 -0.7097
5 	 3.9 	 0.1000 	 -0.2822 	 -0.3081
6 	 3.9 	 0.1000 	 -0.7363 	 -0.6410
7 	 3.9 	 0.1000 	 -0.6046 	 -0.6064
8 	 3.9 	 0.1000 	 -0.3088 	 -0.6076
9 	 3.9 	 0.1000 	 -0.8261 	 -0.6906
10 	 3.9 	 0.1000 	 -0.4844 	 -0.6934
11 	 3.9 	 0.1000 	 -0.2190 	 -0.3882
12 	 4.7 	 0.1000 	 -0.3704 	 -0.6572
13 	 3.9 	 0.1000 	 -0.5082 	 -0.5260
14 	 3.9 	 0.1000 	 -0.5083 	 -0.5264
15 	 4.8 	 0.1000 	 -0.4604 	 -0.7341
16 	 4.0 	 0.1000 	 -0.3833 	 -0.5807
17 	 3.9 	 0.1000 	 -0.5510 	 -0.6348
18 	 3.9 	 0.1000 	 -0.5556 	 -0.6227
19 	 3.9 	 0.1000 	 -0.6921 	 -0.6329
20 	 3.9 	 0.1000 	 -0.6379 	 -0.4705
21 	 5.1 	 0.1000 	 -0.4076 	 -0.7450
22 	 3.9 	 0.1000 	 -0.6536 	 -0.6552
23 	 3.9 	 0.1000 	 -0.4075 	 -0.4280
24 	 3.9 	 0.1000 	 -0.4507 	 -0.5674
25 	 4.7 	 0.1000 	 -0.4755 	 -0.4994
26 	 4.9 	 0.1000 	 -0.4611 	 -0.8645
27 	 4.0 	 0.1000 	 -0.2234 	 -0.6737
28 	 3.9 	 0.1000 	 -0.3469 	 -0.5632
