Namespace(activation='maxmin', batch_size=128, block_size=1, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, opt_level='O2', out_dir='LNNIso_cifar10_N=80_n=16_1_soc_32_maxmin_cr0.0', sample_size=80, seed=0, subsample_size=16, weight_decay=0.0005)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Test Loss 	 
95 	 20.2 	 0.1000 	 -1.6160 	 -0.3026
96 	 20.1 	 0.1000 	 -0.6175 	 -1.4350
97 	 20.1 	 0.1000 	 -0.4809 	 -1.7150
98 	 20.1 	 0.1000 	 -0.9352 	 -1.0421
99 	 20.1 	 0.0100 	 -0.2383 	 -1.3211
100 	 20.4 	 0.0100 	 -0.5552 	 -0.7100
101 	 20.1 	 0.0100 	 -1.9429 	 -0.6404
102 	 20.1 	 0.0100 	 -0.9625 	 -0.7379
103 	 20.2 	 0.0100 	 -0.6480 	 -1.6192
104 	 20.2 	 0.0100 	 -0.4395 	 -0.3686
105 	 20.1 	 0.0100 	 -2.5317 	 -0.3690
106 	 20.1 	 0.0100 	 -0.2286 	 -1.3590
107 	 20.1 	 0.0100 	 -0.0725 	 -0.7601
108 	 21.0 	 0.0100 	 -0.1387 	 -6.2664
109 	 20.1 	 0.0100 	 -5.2908 	 -0.2432
110 	 20.1 	 0.0100 	 -12.6289 	 -1.4449
111 	 20.1 	 0.0100 	 -0.9346 	 -1.4006
112 	 20.2 	 0.0100 	 -0.0036 	 -1.1315
113 	 20.1 	 0.0100 	 -7.6738 	 -0.0192
114 	 20.2 	 0.0100 	 -2.4902 	 -0.8845
115 	 20.1 	 0.0100 	 -0.1665 	 -0.2588
116 	 20.2 	 0.0100 	 -0.2790 	 -1.2242
117 	 20.1 	 0.0100 	 -0.0153 	 -0.2399
118 	 20.2 	 0.0100 	 -7.8573 	 -1.3467
119 	 20.1 	 0.0100 	 -1.2966 	 -0.0199
120 	 20.1 	 0.0100 	 -1.8059 	 -3.0904
121 	 20.2 	 0.0100 	 -0.2939 	 -4.9971
122 	 20.1 	 0.0100 	 -2.1129 	 -3.7720
123 	 20.1 	 0.0100 	 -0.1554 	 -0.2313
124 	 20.1 	 0.0100 	 -0.3419 	 -1.0780
125 	 20.1 	 0.0100 	 -0.0035 	 -1.6857
126 	 20.2 	 0.0100 	 -3.1664 	 -2.0614
127 	 20.1 	 0.0100 	 -0.1598 	 -0.4248
128 	 20.2 	 0.0100 	 -0.4003 	 -1.2858
129 	 20.2 	 0.0100 	 -2.1742 	 -0.0971
130 	 20.2 	 0.0100 	 -0.7467 	 -0.2146
131 	 20.1 	 0.0100 	 -0.0005 	 -0.7964
132 	 20.2 	 0.0100 	 -5.0077 	 -0.2624
133 	 20.2 	 0.0100 	 -2.3357 	 -0.7451
134 	 20.2 	 0.0100 	 -5.8218 	 -0.9349
135 	 20.2 	 0.0100 	 -0.0200 	 -6.0412
136 	 20.1 	 0.0100 	 -1.8374 	 -0.0318
137 	 20.2 	 0.0100 	 -0.4107 	 -1.8435
138 	 20.2 	 0.0100 	 -2.0182 	 -0.6986
139 	 20.2 	 0.0100 	 -0.0016 	 -1.0725
140 	 20.2 	 0.0100 	 -0.1301 	 -0.2208
141 	 20.2 	 0.0100 	 -0.0421 	 -0.5111
142 	 20.1 	 0.0100 	 -2.2448 	 -0.0317
143 	 20.2 	 0.0100 	 -0.0111 	 -1.6320
144 	 20.1 	 0.0100 	 -2.7530 	 -0.1375
145 	 20.2 	 0.0100 	 -7.2790 	 -1.7169
146 	 20.2 	 0.0100 	 -0.8101 	 -0.0003
147 	 20.1 	 0.0100 	 -2.6741 	 -0.0401
148 	 20.2 	 0.0100 	 -0.1585 	 -1.0015
149 	 20.2 	 0.0010 	 -0.0406 	 -0.3278
150 	 20.2 	 0.0010 	 -0.1747 	 -5.2093
151 	 20.2 	 0.0010 	 -0.9628 	 -0.1496
152 	 20.2 	 0.0010 	 -0.1665 	 -0.0957
153 	 20.2 	 0.0010 	 -9.9375 	 -5.7571
154 	 20.2 	 0.0010 	 -0.0575 	 -2.1552
155 	 20.2 	 0.0010 	 -1.5562 	 -0.0815
156 	 20.2 	 0.0010 	 -0.0074 	 -0.0760
157 	 20.2 	 0.0010 	 -7.9710 	 -0.0586
158 	 20.1 	 0.0010 	 -0.1267 	 -4.1611
159 	 20.2 	 0.0010 	 -0.4582 	 -0.3551
160 	 20.1 	 0.0010 	 -2.1849 	 -0.4309
161 	 20.2 	 0.0010 	 -0.2160 	 -2.9621
162 	 20.2 	 0.0010 	 -0.1758 	 -3.5072
163 	 20.1 	 0.0010 	 -0.1061 	 -3.8727
164 	 20.2 	 0.0010 	 -0.4090 	 -0.1354
165 	 20.1 	 0.0010 	 -0.9564 	 -0.9865
166 	 20.1 	 0.0010 	 -1.7201 	 -3.5848
167 	 20.2 	 0.0010 	 -0.7602 	 -0.0220
168 	 20.1 	 0.0010 	 -0.5914 	 -0.1617
169 	 20.2 	 0.0010 	 -2.0205 	 -1.3334
170 	 20.1 	 0.0010 	 -3.6922 	 -0.0876
171 	 20.2 	 0.0010 	 -0.0142 	 -1.1999
172 	 20.1 	 0.0010 	 -0.6962 	 -0.0602
173 	 20.1 	 0.0010 	 -5.9242 	 -1.6138
174 	 20.1 	 0.0010 	 -0.0430 	 -5.7870
175 	 20.2 	 0.0010 	 -2.1114 	 -0.4013
176 	 20.1 	 0.0010 	 -0.2013 	 -0.3869
177 	 20.1 	 0.0010 	 -5.7948 	 -2.0343
178 	 20.1 	 0.0010 	 -0.0317 	 -0.9801
179 	 20.1 	 0.0010 	 -0.2011 	 -1.6375
180 	 20.1 	 0.0010 	 -0.3777 	 -0.0544
181 	 20.1 	 0.0010 	 -0.0797 	 -1.0401
182 	 20.2 	 0.0010 	 -0.0141 	 -5.1819
183 	 20.1 	 0.0010 	 -0.9001 	 -0.4254
184 	 20.1 	 0.0010 	 -1.9733 	 -2.0192
185 	 20.1 	 0.0010 	 -0.4741 	 -0.2470
186 	 20.1 	 0.0010 	 -0.1227 	 -0.5403
187 	 20.1 	 0.0010 	 -0.4862 	 -0.8880
188 	 20.2 	 0.0010 	 -0.3341 	 -0.8199
189 	 20.1 	 0.0010 	 -0.5962 	 -1.6425
190 	 20.1 	 0.0010 	 -1.7828 	 -2.6750
191 	 20.2 	 0.0010 	 -0.4162 	 -0.5468
192 	 20.1 	 0.0010 	 -1.2922 	 -0.0331
193 	 20.2 	 0.0010 	 -0.0155 	 -1.8049
194 	 20.1 	 0.0010 	 -1.0419 	 -1.0459
195 	 20.1 	 0.0010 	 -0.0022 	 -4.4313
196 	 20.1 	 0.0010 	 -1.8307 	 -1.5201
197 	 20.2 	 0.0010 	 -0.0961 	 -0.8957
198 	 20.2 	 0.0010 	 -6.4989 	 -0.2712
199 	 20.2 	 0.0010 	 -1.1019 	 -2.0104
Total train time: 72.2037 minutes
Best Epoch 	 Test Loss 	 Test Time
108 	 -0.1476 	 2.5737
Last Epoch 	 Test Loss 	 Test Time
199 	 -1.8870 	 2.5714
