Namespace(activation='maxmin', batch_size=500, block_size=8, conv_layer='soc', data_dir='./cifar-data', dataset='cifar100', epochs=400, eval_num=100, init_channels=32, lln=False, loss='l1', loss_scale='1.0', lr_drop=200, lr_max=0.1, lr_min=0.0001, momentum=0.9, n=15000, opt_level='O2', out_dir='ISO_cifar100_l1_8_soc_32_maxmin', seed=0, weight_decay=0.0005, workers=4)
Epoch 	 Seconds 	 LR 	 Train Loss
0 	 30.6 	 0.1000 	 0.0097
1 	 26.3 	 0.1000 	 0.0023
2 	 26.3 	 0.1000 	 -0.0364
3 	 27.8 	 0.1000 	 -0.1909
4 	 26.3 	 0.1000 	 -0.9015
5 	 26.3 	 0.1000 	 -0.1087
6 	 27.9 	 0.1000 	 0.0130
7 	 26.3 	 0.1000 	 0.0116
8 	 26.3 	 0.1000 	 0.0080
9 	 26.3 	 0.1000 	 -0.0144
10 	 27.9 	 0.1000 	 -0.0002
11 	 26.3 	 0.1000 	 0.0092
12 	 26.3 	 0.1000 	 0.0029
13 	 27.8 	 0.1000 	 -0.0063
14 	 26.3 	 0.1000 	 0.0008
15 	 26.3 	 0.1000 	 -0.0152
16 	 27.9 	 0.1000 	 0.0021
17 	 26.5 	 0.1000 	 -0.0188
18 	 26.3 	 0.1000 	 -0.0239
19 	 26.3 	 0.1000 	 -0.0374
20 	 27.9 	 0.1000 	 -0.0260
21 	 26.3 	 0.1000 	 -0.1000
22 	 26.3 	 0.1000 	 -0.0212
23 	 27.8 	 0.1000 	 0.0083
24 	 26.3 	 0.1000 	 0.0029
25 	 26.3 	 0.1000 	 0.0068
26 	 27.9 	 0.1000 	 -0.0167
27 	 26.3 	 0.1000 	 -0.0247
28 	 26.3 	 0.1000 	 -0.0276
29 	 26.3 	 0.1000 	 -0.0384
30 	 27.8 	 0.1000 	 -0.0073
31 	 26.2 	 0.1000 	 -0.0238
32 	 26.3 	 0.1000 	 -0.0306
33 	 27.8 	 0.1000 	 -0.0099
34 	 26.3 	 0.1000 	 -0.0320
35 	 26.4 	 0.0600 	 -0.0859
36 	 27.8 	 0.0600 	 -0.0339
37 	 26.2 	 0.0600 	 -0.0664
38 	 26.3 	 0.0600 	 -0.1121
39 	 26.3 	 0.0600 	 -0.0803
40 	 27.9 	 0.0600 	 0.0314
41 	 26.3 	 0.0600 	 -0.0679
42 	 26.3 	 0.0600 	 -0.0643
43 	 27.9 	 0.0600 	 0.0223
44 	 26.3 	 0.0600 	 -0.0389
45 	 26.3 	 0.0600 	 -0.0676
46 	 27.9 	 0.0600 	 -0.1187
47 	 26.3 	 0.0600 	 -0.1193
48 	 26.3 	 0.0600 	 -0.0635
49 	 26.3 	 0.0600 	 -0.0419
50 	 27.9 	 0.0600 	 -0.0456
51 	 26.3 	 0.0600 	 -0.0847
52 	 26.4 	 0.0600 	 -0.0519
53 	 27.9 	 0.0600 	 -0.0110
54 	 26.3 	 0.0600 	 -0.0713
55 	 26.3 	 0.0600 	 -0.0589
56 	 27.8 	 0.0600 	 -0.0497
57 	 26.4 	 0.0600 	 -0.0774
58 	 26.3 	 0.0600 	 -0.0760
59 	 26.3 	 0.0600 	 -0.0677
60 	 27.8 	 0.0600 	 -0.1068
61 	 26.3 	 0.0600 	 -0.0664
62 	 26.3 	 0.0600 	 -0.0621
63 	 27.8 	 0.0600 	 -0.0464
64 	 26.4 	 0.0600 	 -0.1048
65 	 26.3 	 0.0600 	 -0.0542
66 	 27.9 	 0.0360 	 -0.1000
67 	 26.3 	 0.0360 	 -0.1356
68 	 26.3 	 0.0360 	 -0.1263
69 	 26.3 	 0.0360 	 -0.0967
70 	 27.9 	 0.0360 	 -0.1427
71 	 26.4 	 0.0360 	 -0.1597
72 	 26.4 	 0.0360 	 -0.0755
73 	 27.8 	 0.0360 	 -0.1110
74 	 26.3 	 0.0360 	 -0.0312
75 	 26.3 	 0.0360 	 -0.0921
76 	 27.9 	 0.0360 	 -0.1452
77 	 26.3 	 0.0360 	 -0.1210
78 	 26.2 	 0.0360 	 -0.1025
79 	 26.3 	 0.0360 	 -0.1253
80 	 27.9 	 0.0360 	 -0.1489
81 	 26.3 	 0.0360 	 -0.1253
82 	 26.3 	 0.0360 	 -0.1444
83 	 27.9 	 0.0360 	 -0.1371
