Namespace(activation='maxmin', batch_size=500, block_size=8, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=400, eval_num=100, init_channels=32, lln=False, loss='l1', loss_scale='1.0', lr_drop=200, lr_max=0.2, lr_min=0.0001, momentum=0.9, n=15000, opt_level='O2', out_dir='ISO_cifar10_l1_8_soc_32_maxmin', seed=0, weight_decay=0.0005, workers=4)
Epoch 	 Seconds 	 LR 	 Train Loss
0 	 28.9 	 0.2000 	 -0.3157
1 	 26.5 	 0.2000 	 -0.2122
2 	 26.5 	 0.2000 	 -0.0012
3 	 28.1 	 0.2000 	 -0.0110
4 	 26.5 	 0.2000 	 -0.0092
5 	 26.4 	 0.2000 	 -0.0007
6 	 28.1 	 0.2000 	 -0.0069
7 	 26.4 	 0.2000 	 -0.0081
8 	 26.4 	 0.2000 	 -0.0117
9 	 26.5 	 0.2000 	 -0.0116
10 	 28.1 	 0.2000 	 -0.0206
11 	 26.5 	 0.2000 	 -0.0200
12 	 26.5 	 0.2000 	 -0.0400
13 	 28.1 	 0.2000 	 -0.0268
14 	 26.5 	 0.2000 	 -0.0430
15 	 26.5 	 0.2000 	 -0.0201
16 	 28.1 	 0.2000 	 -0.0645
17 	 26.7 	 0.2000 	 -0.0551
18 	 26.5 	 0.2000 	 -0.1035
19 	 26.3 	 0.2000 	 -0.1162
20 	 28.1 	 0.2000 	 -0.1010
21 	 26.5 	 0.2000 	 -0.0664
22 	 26.5 	 0.2000 	 -0.0635
23 	 28.1 	 0.2000 	 -0.0893
24 	 26.4 	 0.2000 	 -0.1037
25 	 26.5 	 0.2000 	 -0.0619
26 	 28.0 	 0.2000 	 -0.1010
27 	 26.5 	 0.2000 	 -0.0787
28 	 26.5 	 0.2000 	 -0.0298
29 	 26.5 	 0.2000 	 -0.0675
30 	 28.1 	 0.2000 	 -0.0808
31 	 26.5 	 0.1200 	 -0.0849
32 	 26.5 	 0.1200 	 -0.0809
33 	 28.1 	 0.1200 	 -0.0910
34 	 26.5 	 0.1200 	 -0.1330
35 	 26.5 	 0.1200 	 -0.1338
36 	 28.0 	 0.1200 	 -0.1504
37 	 26.4 	 0.1200 	 -0.1469
38 	 26.5 	 0.1200 	 -0.1646
39 	 26.4 	 0.1200 	 -0.1746
40 	 28.1 	 0.1200 	 -0.1754
41 	 26.5 	 0.1200 	 -0.1914
42 	 26.4 	 0.1200 	 -0.1318
43 	 28.0 	 0.1200 	 -0.1260
44 	 26.5 	 0.1200 	 -0.1216
45 	 26.4 	 0.1200 	 -0.1559
46 	 28.0 	 0.1200 	 -0.1197
47 	 26.4 	 0.1200 	 -0.1492
48 	 26.5 	 0.1200 	 -0.1698
49 	 26.5 	 0.1200 	 -0.1590
50 	 28.1 	 0.1200 	 -0.1698
51 	 26.5 	 0.1200 	 -0.1114
52 	 26.5 	 0.1200 	 -0.1396
53 	 28.1 	 0.1200 	 -0.1263
54 	 26.5 	 0.1200 	 -0.1602
55 	 26.5 	 0.1200 	 -0.1348
56 	 28.1 	 0.1200 	 -0.1271
57 	 26.4 	 0.1200 	 -0.1622
58 	 26.5 	 0.1200 	 -0.1142
59 	 26.5 	 0.1200 	 -0.1611
60 	 28.1 	 0.1200 	 -0.1350
61 	 26.5 	 0.1200 	 -0.1027
62 	 26.5 	 0.0720 	 -0.1150
63 	 28.1 	 0.0720 	 -0.1645
64 	 26.5 	 0.0720 	 -0.1939
65 	 26.5 	 0.0720 	 -0.2183
66 	 28.1 	 0.0720 	 -0.1910
67 	 26.4 	 0.0720 	 -0.1933
68 	 26.5 	 0.0720 	 -0.1977
69 	 26.5 	 0.0720 	 -0.1998
70 	 28.0 	 0.0720 	 -0.1330
71 	 26.5 	 0.0720 	 -0.2193
72 	 26.5 	 0.0720 	 -0.1625
73 	 28.0 	 0.0720 	 -0.1809
74 	 26.5 	 0.0720 	 -0.1922
75 	 26.4 	 0.0720 	 -0.2281
76 	 28.1 	 0.0720 	 -0.1960
77 	 26.4 	 0.0720 	 -0.1874
78 	 26.4 	 0.0720 	 -0.2035
79 	 26.5 	 0.0720 	 -0.2200
80 	 28.1 	 0.0720 	 -0.2331
81 	 26.5 	 0.0720 	 -0.2272
82 	 26.5 	 0.0720 	 -0.2322
83 	 28.1 	 0.0720 	 -0.1790
84 	 26.5 	 0.0720 	 -0.2075
85 	 26.5 	 0.0720 	 -0.1808
86 	 28.0 	 0.0720 	 -0.2376
87 	 26.4 	 0.0720 	 -0.1772
88 	 26.5 	 0.0720 	 -0.1931
89 	 26.5 	 0.0720 	 -0.2249
90 	 28.1 	 0.0720 	 -0.1893
91 	 26.5 	 0.0720 	 -0.1712
92 	 26.5 	 0.0720 	 -0.1863
93 	 28.1 	 0.0432 	 -0.1432
94 	 26.4 	 0.0432 	 -0.2202
95 	 26.4 	 0.0432 	 -0.2469
96 	 28.0 	 0.0432 	 -0.2587
97 	 26.4 	 0.0432 	 -0.2628
98 	 26.4 	 0.0432 	 -0.2362
99 	 26.5 	 0.0432 	 -0.2598
