Namespace(activation='maxmin', batch_size=128, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, n=8000, opt_level='O2', out_dir='LipConvnet_cifar10_n=8000_4_soc_32_maxmin_cr0.0', seed=0, weight_decay=0.0005)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Test Loss 	 
0 	 29.4 	 0.1000 	 -0.3552 	 -0.5534
1 	 28.1 	 0.1000 	 -0.6141 	 -0.6691
2 	 26.0 	 0.1000 	 -0.5954 	 -0.5647
3 	 26.8 	 0.1000 	 -0.6550 	 -0.5829
4 	 28.1 	 0.1000 	 -0.6814 	 -0.7472
5 	 26.0 	 0.1000 	 -0.7349 	 -0.5603
6 	 26.7 	 0.1000 	 -0.7127 	 -0.7439
7 	 26.7 	 0.1000 	 -0.6389 	 -0.7329
8 	 27.3 	 0.1000 	 -0.6101 	 -0.8277
9 	 26.7 	 0.1000 	 -0.6365 	 -0.5448
10 	 25.9 	 0.1000 	 -0.6598 	 -0.6298
11 	 26.7 	 0.1000 	 -0.5652 	 -0.5848
12 	 26.7 	 0.1000 	 -0.6372 	 -0.8227
13 	 26.0 	 0.1000 	 -0.6914 	 -0.6402
14 	 26.7 	 0.1000 	 -0.6186 	 -0.5238
15 	 28.2 	 0.1000 	 -0.7192 	 -0.8831
16 	 26.0 	 0.1000 	 -0.7024 	 -0.7992
17 	 26.7 	 0.1000 	 -0.8204 	 -0.6030
18 	 26.0 	 0.1000 	 -0.6399 	 -0.7149
19 	 26.7 	 0.1000 	 -0.6652 	 -0.5492
20 	 26.7 	 0.1000 	 -0.5430 	 -0.7006
21 	 25.9 	 0.1000 	 -0.7505 	 -0.8478
22 	 26.7 	 0.1000 	 -0.7750 	 -0.7278
23 	 26.7 	 0.1000 	 -0.7264 	 -0.7093
24 	 25.9 	 0.1000 	 -0.7139 	 -0.8520
25 	 26.8 	 0.1000 	 -0.7362 	 -0.7010
26 	 26.7 	 0.1000 	 -0.8326 	 -0.8757
27 	 25.9 	 0.1000 	 -0.5946 	 -0.6293
28 	 26.7 	 0.1000 	 -0.7622 	 -0.7497
29 	 25.9 	 0.1000 	 -0.7500 	 -0.6355
30 	 26.7 	 0.1000 	 -0.7282 	 -0.5242
31 	 26.7 	 0.1000 	 -0.8121 	 -0.8706
32 	 25.9 	 0.1000 	 -0.8559 	 -0.6848
33 	 26.7 	 0.1000 	 -0.7579 	 -0.7371
34 	 26.7 	 0.1000 	 -0.6527 	 -0.6626
35 	 25.9 	 0.1000 	 -0.8563 	 -0.7352
36 	 26.7 	 0.1000 	 -0.7476 	 -0.7173
37 	 25.9 	 0.1000 	 -0.8878 	 -0.7631
38 	 26.8 	 0.1000 	 -0.7261 	 -0.8303
39 	 26.7 	 0.1000 	 -0.7947 	 -0.7772
40 	 25.9 	 0.1000 	 -0.6316 	 -0.7190
41 	 26.7 	 0.1000 	 -0.7221 	 -0.7203
42 	 26.7 	 0.1000 	 -0.8250 	 -0.7344
43 	 25.9 	 0.1000 	 -0.7087 	 -0.6881
44 	 26.8 	 0.1000 	 -0.6367 	 -0.6221
45 	 25.9 	 0.1000 	 -0.8260 	 -0.7192
46 	 26.7 	 0.1000 	 -0.6999 	 -0.6906
47 	 26.8 	 0.1000 	 -0.7223 	 -0.6764
48 	 25.9 	 0.1000 	 -0.6421 	 -0.6074
49 	 26.7 	 0.1000 	 -0.5807 	 -0.7109
50 	 26.8 	 0.1000 	 -0.8659 	 -0.7869
51 	 25.9 	 0.1000 	 -0.7264 	 -0.7042
52 	 26.7 	 0.1000 	 -0.9138 	 -0.8416
53 	 26.8 	 0.1000 	 -0.7645 	 -0.7539
54 	 26.0 	 0.1000 	 -0.7690 	 -0.6964
55 	 26.7 	 0.1000 	 -0.7328 	 -0.7055
56 	 25.9 	 0.1000 	 -0.7389 	 -0.7654
57 	 26.7 	 0.1000 	 -0.8491 	 -0.7224
58 	 26.7 	 0.1000 	 -0.6819 	 -0.6936
59 	 25.9 	 0.1000 	 -0.7055 	 -0.7160
60 	 26.7 	 0.1000 	 -0.8107 	 -0.6724
61 	 26.7 	 0.1000 	 -0.7381 	 -0.5949
62 	 26.0 	 0.1000 	 -0.7949 	 -0.6955
63 	 26.7 	 0.1000 	 -0.9010 	 -0.8134
64 	 25.9 	 0.1000 	 -0.7491 	 -0.6436
65 	 26.7 	 0.1000 	 -0.8402 	 -0.8145
66 	 26.7 	 0.1000 	 -0.7724 	 -0.4726
67 	 26.0 	 0.1000 	 -0.8609 	 -0.7045
68 	 26.7 	 0.1000 	 -0.7934 	 -0.7659
69 	 26.7 	 0.1000 	 -0.6464 	 -0.6663
