Namespace(activation='maxmin', batch_size=128, block_size=1, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, n=100, opt_level='O2', out_dir='LNNIso_cifar10_n=100_1_soc_32_maxmin_cr0.0', seed=0, weight_decay=0.0005)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Test Loss 	 
0 	 23.9 	 0.1000 	 -0.0332 	 -0.1073
1 	 21.6 	 0.1000 	 -0.0028 	 -0.1278
2 	 20.8 	 0.1000 	 -0.3730 	 -0.1245
3 	 21.6 	 0.1000 	 -0.0775 	 -0.3215
4 	 20.8 	 0.1000 	 -0.4186 	 -0.0765
5 	 21.6 	 0.1000 	 -0.1547 	 -0.5531
6 	 20.8 	 0.1000 	 -1.1664 	 -0.3808
7 	 20.7 	 0.1000 	 -0.2794 	 -0.0557
8 	 20.7 	 0.1000 	 -0.0897 	 -0.2260
9 	 20.7 	 0.1000 	 -2.5484 	 -0.1007
10 	 21.5 	 0.1000 	 -1.2349 	 -0.5939
11 	 20.8 	 0.1000 	 -1.6614 	 -0.5686
12 	 21.8 	 0.1000 	 -0.0246 	 -0.7007
13 	 20.8 	 0.1000 	 -0.3033 	 -0.2255
14 	 20.8 	 0.1000 	 -1.7278 	 -0.1265
15 	 20.8 	 0.1000 	 -1.5194 	 -0.3261
16 	 20.7 	 0.1000 	 -0.6113 	 -0.2080
17 	 20.8 	 0.1000 	 -1.5334 	 -0.1860
18 	 20.8 	 0.1000 	 -0.3541 	 -0.0596
19 	 20.8 	 0.1000 	 -0.1103 	 -0.1638
20 	 20.8 	 0.1000 	 -1.2891 	 -0.3550
21 	 20.8 	 0.1000 	 -1.7108 	 -0.0411
22 	 20.8 	 0.1000 	 -0.5844 	 -0.4662
23 	 20.8 	 0.1000 	 -2.3183 	 -0.2071
24 	 20.7 	 0.1000 	 -1.9686 	 -0.2644
25 	 20.7 	 0.1000 	 -2.5366 	 -0.6601
26 	 21.6 	 0.1000 	 -0.0850 	 -0.8932
27 	 21.6 	 0.1000 	 -2.2007 	 -1.0846
28 	 21.6 	 0.1000 	 -1.5782 	 -1.6364
29 	 20.7 	 0.1000 	 -3.1466 	 -0.0238
30 	 20.8 	 0.1000 	 -0.5394 	 -1.2730
31 	 20.7 	 0.1000 	 -0.8443 	 -1.1851
32 	 20.8 	 0.1000 	 -0.8110 	 -1.5963
33 	 20.7 	 0.1000 	 -3.7456 	 -0.5936
34 	 20.8 	 0.1000 	 -1.2167 	 -0.3275
35 	 21.7 	 0.1000 	 -2.4493 	 -2.3142
36 	 20.8 	 0.1000 	 -3.0262 	 -0.5911
37 	 20.8 	 0.1000 	 -0.5535 	 -0.5999
38 	 20.7 	 0.1000 	 -0.5656 	 -0.1944
39 	 20.8 	 0.1000 	 -0.6845 	 -0.0190
40 	 20.8 	 0.1000 	 -1.4080 	 -0.2668
41 	 20.7 	 0.1000 	 -0.0365 	 -0.1813
42 	 20.7 	 0.1000 	 -1.8016 	 -0.9121
43 	 20.7 	 0.1000 	 -1.6963 	 -0.1717
44 	 20.7 	 0.1000 	 -4.0143 	 -1.1847
45 	 20.7 	 0.1000 	 -1.3124 	 -1.6130
46 	 20.7 	 0.1000 	 -0.3166 	 -0.1259
47 	 20.8 	 0.1000 	 -5.1797 	 -0.2643
48 	 20.7 	 0.1000 	 -1.6682 	 -0.3649
49 	 20.7 	 0.1000 	 -7.7887 	 -0.8387
50 	 20.7 	 0.1000 	 -0.6779 	 -1.3218
51 	 20.7 	 0.1000 	 -1.1538 	 -1.9222
52 	 20.7 	 0.1000 	 -1.0300 	 -1.7812
53 	 20.7 	 0.1000 	 -1.1982 	 -1.3135
54 	 20.7 	 0.1000 	 -2.3161 	 -0.1703
55 	 20.8 	 0.1000 	 -5.3820 	 -0.8240
56 	 20.8 	 0.1000 	 -2.0343 	 -0.3491
57 	 20.8 	 0.1000 	 -0.9872 	 -2.0982
58 	 20.7 	 0.1000 	 -5.3521 	 -1.0427
59 	 20.7 	 0.1000 	 -1.2962 	 -1.1872
60 	 20.7 	 0.1000 	 -3.8363 	 -0.0607
61 	 20.7 	 0.1000 	 -2.8907 	 -0.1274
62 	 20.7 	 0.1000 	 -3.5424 	 -1.9511
63 	 20.8 	 0.1000 	 -1.9255 	 -1.5563
64 	 20.8 	 0.1000 	 -4.6136 	 -0.7833
65 	 20.7 	 0.1000 	 -0.5646 	 -0.3458
66 	 20.7 	 0.1000 	 -0.8628 	 -0.9969
67 	 20.7 	 0.1000 	 -0.7968 	 -0.2867
68 	 20.7 	 0.1000 	 -1.5206 	 -0.0373
69 	 20.7 	 0.1000 	 -1.4769 	 -0.2269
70 	 20.8 	 0.1000 	 -1.3371 	 -0.2202
71 	 20.7 	 0.1000 	 -0.0965 	 -0.2126
72 	 20.7 	 0.1000 	 -2.3260 	 -0.7676
73 	 20.8 	 0.1000 	 -1.4910 	 -0.5722
74 	 20.7 	 0.1000 	 -0.3038 	 -0.1504
75 	 20.7 	 0.1000 	 -0.3727 	 -0.0525
76 	 20.8 	 0.1000 	 -0.4631 	 -0.1970
77 	 20.7 	 0.1000 	 -2.3176 	 -0.7281
78 	 20.7 	 0.1000 	 -1.7932 	 -0.3346
79 	 20.7 	 0.1000 	 -0.7475 	 -1.4599
80 	 20.8 	 0.1000 	 -5.2341 	 -2.2879
81 	 20.8 	 0.1000 	 -3.1173 	 -1.1111
82 	 20.8 	 0.1000 	 -0.1079 	 -0.1122
83 	 20.7 	 0.1000 	 -2.0187 	 -1.2746
84 	 20.8 	 0.1000 	 -1.0081 	 -1.5742
85 	 20.8 	 0.1000 	 -1.4318 	 -0.5621
86 	 20.8 	 0.1000 	 -0.3875 	 -0.3472
87 	 20.7 	 0.1000 	 -2.6685 	 -1.0878
88 	 20.8 	 0.1000 	 -4.4606 	 -1.8665
89 	 20.8 	 0.1000 	 -1.7589 	 -0.6276
90 	 20.8 	 0.1000 	 -3.1005 	 -1.0636
91 	 20.8 	 0.1000 	 -0.0335 	 -1.0490
92 	 20.8 	 0.1000 	 -4.0571 	 -1.1474
93 	 20.7 	 0.1000 	 -0.8329 	 -1.0168
94 	 20.8 	 0.1000 	 -0.2327 	 -1.2888
95 	 20.7 	 0.1000 	 -1.2595 	 -0.1038
96 	 20.8 	 0.1000 	 -2.2204 	 -1.1174
97 	 20.7 	 0.1000 	 -0.7596 	 -0.6332
98 	 20.8 	 0.1000 	 -0.9112 	 -0.2050
99 	 20.8 	 0.0100 	 -0.4273 	 -0.7889
100 	 20.8 	 0.0100 	 -0.6289 	 -0.4938
101 	 20.8 	 0.0100 	 -0.2302 	 -0.1320
102 	 20.8 	 0.0100 	 -1.9822 	 -0.4430
103 	 20.7 	 0.0100 	 -4.2264 	 -1.1531
104 	 20.8 	 0.0100 	 -3.5270 	 -0.7760
105 	 20.8 	 0.0100 	 -1.0983 	 -0.4362
106 	 20.7 	 0.0100 	 -2.0674 	 -0.4929
107 	 20.7 	 0.0100 	 -1.3852 	 -0.1746
108 	 20.7 	 0.0100 	 -0.9656 	 -1.1386
109 	 20.8 	 0.0100 	 -1.3891 	 -0.0067
110 	 20.8 	 0.0100 	 -0.0009 	 -0.2424
111 	 20.8 	 0.0100 	 -1.8066 	 -0.4621
112 	 20.8 	 0.0100 	 -2.1166 	 -0.6537
113 	 20.8 	 0.0100 	 -0.3853 	 -1.3060
114 	 20.8 	 0.0100 	 -2.1637 	 -1.9473
115 	 20.8 	 0.0100 	 -2.2801 	 -1.1180
116 	 20.8 	 0.0100 	 -3.0375 	 -0.6621
117 	 20.7 	 0.0100 	 -1.5745 	 -0.4370
118 	 20.7 	 0.0100 	 -0.2842 	 -1.7894
119 	 20.8 	 0.0100 	 -3.2799 	 -0.2482
120 	 20.9 	 0.0100 	 -0.6152 	 -0.5755
121 	 20.7 	 0.0100 	 -1.3003 	 -0.7028
122 	 20.8 	 0.0100 	 -1.1372 	 -0.9648
123 	 20.7 	 0.0100 	 -1.4817 	 -0.3978
124 	 20.7 	 0.0100 	 -2.5137 	 -1.0832
125 	 20.8 	 0.0100 	 -5.4092 	 -0.0810
126 	 20.7 	 0.0100 	 -2.8149 	 -1.0046
127 	 20.7 	 0.0100 	 -2.8075 	 -1.1320
128 	 20.7 	 0.0100 	 -2.9081 	 -0.1704
129 	 20.7 	 0.0100 	 -0.3408 	 -1.4584
130 	 20.7 	 0.0100 	 -3.4908 	 -1.1716
131 	 20.8 	 0.0100 	 -3.5995 	 -0.8036
132 	 20.7 	 0.0100 	 -1.4263 	 -0.8953
133 	 20.8 	 0.0100 	 -0.8191 	 -1.3225
134 	 20.7 	 0.0100 	 -1.3799 	 -0.6323
135 	 20.8 	 0.0100 	 -6.0884 	 -0.1409
136 	 20.7 	 0.0100 	 -0.7602 	 -1.2250
137 	 21.8 	 0.0100 	 -0.4677 	 -3.2598
138 	 20.8 	 0.0100 	 -0.0759 	 -2.1986
139 	 20.7 	 0.0100 	 -1.1521 	 -0.2857
140 	 20.7 	 0.0100 	 -2.2509 	 -1.5579
141 	 20.7 	 0.0100 	 -4.4738 	 -0.1629
142 	 20.7 	 0.0100 	 -1.4023 	 -0.5530
143 	 20.7 	 0.0100 	 -2.6655 	 -1.2447
144 	 20.7 	 0.0100 	 -2.4775 	 -1.1910
145 	 20.7 	 0.0100 	 -2.8195 	 -0.2400
146 	 20.7 	 0.0100 	 -0.5886 	 -0.6961
