Namespace(activation='maxmin', batch_size=128, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, n=2000, opt_level='O2', out_dir='LipConvnet_cifar10_n=2000_4_soc_32_maxmin_cr0.0', seed=0, weight_decay=0.0005)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Test Loss 	 
95 	 7.1 	 0.1000 	 -0.8406 	 -0.7803
96 	 7.1 	 0.1000 	 -0.5962 	 -0.6535
97 	 7.1 	 0.1000 	 -0.6567 	 -0.8084
98 	 7.1 	 0.1000 	 -0.8189 	 -0.6935
99 	 7.1 	 0.0100 	 -0.6474 	 -0.6311
100 	 7.8 	 0.0100 	 -0.7301 	 -0.7822
101 	 7.1 	 0.0100 	 -0.5816 	 -0.7635
102 	 7.1 	 0.0100 	 -0.7459 	 -0.7843
103 	 7.1 	 0.0100 	 -0.9424 	 -0.6123
104 	 7.1 	 0.0100 	 -0.7326 	 -0.6708
105 	 7.1 	 0.0100 	 -0.2645 	 -0.8041
106 	 7.9 	 0.0100 	 -0.8931 	 -1.0526
107 	 8.0 	 0.0100 	 -0.6426 	 -1.1959
108 	 7.1 	 0.0100 	 -0.5318 	 -0.6478
109 	 7.0 	 0.0100 	 -0.8577 	 -0.5158
110 	 7.0 	 0.0100 	 -0.7023 	 -0.7099
111 	 7.1 	 0.0100 	 -0.8514 	 -0.5968
112 	 7.8 	 0.0100 	 -1.0443 	 -0.6987
113 	 7.1 	 0.0100 	 -0.5633 	 -0.9142
114 	 7.1 	 0.0100 	 -0.6999 	 -0.6476
115 	 7.1 	 0.0100 	 -0.5894 	 -0.5829
116 	 7.1 	 0.0100 	 -0.7188 	 -0.8290
117 	 7.1 	 0.0100 	 -0.9349 	 -0.8181
118 	 7.9 	 0.0100 	 -0.9982 	 -1.1296
119 	 7.1 	 0.0100 	 -0.7072 	 -0.8320
120 	 7.1 	 0.0100 	 -0.8868 	 -0.8025
121 	 7.0 	 0.0100 	 -0.7085 	 -0.5211
122 	 7.1 	 0.0100 	 -0.9468 	 -0.8375
123 	 7.1 	 0.0100 	 -0.7164 	 -0.7963
124 	 7.1 	 0.0100 	 -0.4281 	 -0.9205
125 	 7.8 	 0.0100 	 -0.7767 	 -0.5604
126 	 7.1 	 0.0100 	 -0.7864 	 -0.7762
127 	 7.1 	 0.0100 	 -1.0509 	 -0.8435
128 	 7.0 	 0.0100 	 -0.6823 	 -0.7363
129 	 7.1 	 0.0100 	 -0.7519 	 -0.5991
130 	 7.1 	 0.0100 	 -1.0440 	 -0.8945
131 	 7.9 	 0.0100 	 -0.9042 	 -0.6346
132 	 7.1 	 0.0100 	 -0.7282 	 -0.7248
133 	 7.1 	 0.0100 	 -0.8303 	 -0.6262
134 	 7.1 	 0.0100 	 -0.8369 	 -0.9485
135 	 7.1 	 0.0100 	 -0.8063 	 -0.8575
136 	 7.0 	 0.0100 	 -1.0477 	 -0.6162
137 	 7.9 	 0.0100 	 -0.7139 	 -0.6789
138 	 7.0 	 0.0100 	 -0.8179 	 -0.5950
139 	 7.0 	 0.0100 	 -0.7357 	 -1.0632
140 	 7.1 	 0.0100 	 -0.7321 	 -0.4648
141 	 7.1 	 0.0100 	 -0.7634 	 -0.7822
142 	 7.1 	 0.0100 	 -0.9261 	 -0.7958
143 	 7.9 	 0.0100 	 -0.9484 	 -1.0552
144 	 8.1 	 0.0100 	 -0.9412 	 -1.2909
145 	 7.0 	 0.0100 	 -0.6153 	 -0.9105
146 	 7.1 	 0.0100 	 -1.1510 	 -1.0589
147 	 7.1 	 0.0100 	 -0.6645 	 -0.7419
148 	 7.1 	 0.0100 	 -0.9023 	 -0.6522
149 	 7.1 	 0.0010 	 -1.1245 	 -0.9051
150 	 7.8 	 0.0010 	 -0.8036 	 -0.6144
151 	 7.1 	 0.0010 	 -0.8260 	 -1.0925
152 	 7.1 	 0.0010 	 -0.6647 	 -0.5405
153 	 7.1 	 0.0010 	 -0.9546 	 -0.9263
154 	 7.1 	 0.0010 	 -0.8558 	 -0.7058
155 	 7.1 	 0.0010 	 -0.7955 	 -0.8112
156 	 7.9 	 0.0010 	 -0.7351 	 -0.8216
157 	 7.1 	 0.0010 	 -0.7340 	 -0.6427
158 	 7.1 	 0.0010 	 -0.6377 	 -0.6456
159 	 7.1 	 0.0010 	 -1.0897 	 -0.7787
160 	 7.1 	 0.0010 	 -0.8032 	 -0.8845
161 	 7.1 	 0.0010 	 -0.6759 	 -0.8737
162 	 7.9 	 0.0010 	 -0.8398 	 -1.0748
163 	 7.1 	 0.0010 	 -0.7670 	 -1.2374
164 	 7.1 	 0.0010 	 -0.8118 	 -0.9037
165 	 7.1 	 0.0010 	 -0.6427 	 -1.0004
166 	 7.1 	 0.0010 	 -0.5669 	 -0.6473
167 	 7.1 	 0.0010 	 -1.1619 	 -0.9510
168 	 7.8 	 0.0010 	 -1.0509 	 -0.5533
169 	 8.2 	 0.0010 	 -0.7698 	 -1.3482
170 	 7.1 	 0.0010 	 -0.8926 	 -0.7482
171 	 7.1 	 0.0010 	 -1.0251 	 -0.7128
172 	 7.0 	 0.0010 	 -0.5692 	 -0.4907
173 	 7.1 	 0.0010 	 -0.9040 	 -0.8389
174 	 7.1 	 0.0010 	 -0.6983 	 -0.8844
175 	 7.8 	 0.0010 	 -1.0168 	 -0.7303
176 	 7.1 	 0.0010 	 -0.7219 	 -0.9369
177 	 7.0 	 0.0010 	 -0.9952 	 -0.4528
178 	 7.1 	 0.0010 	 -0.7552 	 -0.5386
179 	 7.1 	 0.0010 	 -1.0779 	 -0.9742
180 	 7.1 	 0.0010 	 -0.8258 	 -1.0856
181 	 7.9 	 0.0010 	 -1.1399 	 -0.9067
182 	 7.1 	 0.0010 	 -0.9053 	 -0.9670
183 	 8.1 	 0.0010 	 -0.7955 	 -1.4850
184 	 7.1 	 0.0010 	 -0.7594 	 -0.7595
185 	 7.1 	 0.0010 	 -0.9009 	 -0.6614
186 	 7.1 	 0.0010 	 -0.7129 	 -0.9281
187 	 7.8 	 0.0010 	 -0.6389 	 -0.5986
188 	 7.1 	 0.0010 	 -1.0996 	 -0.5487
189 	 7.1 	 0.0010 	 -1.1458 	 -0.9037
190 	 7.1 	 0.0010 	 -0.9251 	 -0.5896
191 	 7.1 	 0.0010 	 -0.8572 	 -0.6522
192 	 7.1 	 0.0010 	 -0.9232 	 -0.7500
193 	 7.9 	 0.0010 	 -0.7268 	 -0.9620
194 	 7.1 	 0.0010 	 -0.6549 	 -0.8617
195 	 7.0 	 0.0010 	 -0.4911 	 -0.9894
196 	 7.1 	 0.0010 	 -0.6906 	 -0.9557
197 	 7.1 	 0.0010 	 -1.2082 	 -0.7809
198 	 7.1 	 0.0010 	 -0.8908 	 -0.9114
199 	 7.1 	 0.0010 	 -0.9871 	 -0.6778
Total train time: 28.3705 minutes
Best Epoch 	 Test Loss 	 Test Time
183 	 -0.8397 	 2.2067
Last Epoch 	 Test Loss 	 Test Time
199 	 -1.0797 	 2.2207
