Namespace(activation='maxmin', batch_size=500, block_size=2, conv_layer='soc', data_dir='./cifar-data', dataset='cifar100', epochs=400, eval_num=100, init_channels=32, lln=False, loss='l1', loss_scale='1.0', lr_drop=200, lr_max=0.1, lr_min=0.0001, momentum=0.9, n=15000, opt_level='O2', out_dir='ISO_cifar100_l1_2_soc_32_maxmin', seed=0, weight_decay=0.0005, workers=4)
Epoch 	 Seconds 	 LR 	 Train Loss
0 	 12.7 	 0.1000 	 0.0383
1 	 9.5 	 0.1000 	 -0.0060
2 	 9.5 	 0.1000 	 -0.0352
3 	 10.0 	 0.1000 	 -0.0470
4 	 9.5 	 0.1000 	 -0.0522
5 	 9.5 	 0.1000 	 -0.0435
6 	 10.0 	 0.1000 	 -0.0637
7 	 9.5 	 0.1000 	 -0.0740
8 	 9.6 	 0.1000 	 -0.0804
9 	 9.6 	 0.1000 	 -0.0610
10 	 10.0 	 0.1000 	 -0.0783
11 	 9.5 	 0.1000 	 -0.0864
12 	 9.6 	 0.1000 	 -0.1518
13 	 10.0 	 0.1000 	 -0.0967
14 	 9.5 	 0.1000 	 -0.0606
15 	 9.5 	 0.1000 	 -0.1079
16 	 10.0 	 0.1000 	 -0.1525
17 	 9.6 	 0.1000 	 -0.1588
18 	 9.5 	 0.1000 	 -0.0656
19 	 9.5 	 0.1000 	 -0.0651
20 	 10.0 	 0.1000 	 -0.1506
21 	 9.5 	 0.1000 	 -0.1713
22 	 9.6 	 0.1000 	 -0.1752
23 	 10.0 	 0.1000 	 -0.2077
24 	 9.6 	 0.1000 	 -0.2282
25 	 9.5 	 0.1000 	 -0.2190
26 	 10.0 	 0.1000 	 -0.2596
27 	 9.5 	 0.1000 	 -0.2568
28 	 9.5 	 0.1000 	 -0.2691
29 	 9.5 	 0.1000 	 -0.2446
30 	 10.0 	 0.1000 	 -0.2245
31 	 9.5 	 0.1000 	 -0.2412
32 	 9.5 	 0.1000 	 -0.2630
33 	 10.0 	 0.1000 	 -0.2881
34 	 9.5 	 0.1000 	 -0.3237
35 	 9.6 	 0.1000 	 -0.2505
36 	 9.9 	 0.1000 	 -0.2660
37 	 9.5 	 0.1000 	 -0.3132
38 	 9.5 	 0.1000 	 -0.3050
39 	 9.5 	 0.1000 	 -0.3460
40 	 9.9 	 0.1000 	 -0.3493
41 	 9.5 	 0.1000 	 -0.4224
42 	 9.5 	 0.1000 	 -0.4081
43 	 9.9 	 0.1000 	 -0.5234
44 	 9.5 	 0.1000 	 -0.5351
45 	 9.5 	 0.1000 	 -0.5707
46 	 9.9 	 0.1000 	 -0.5877
47 	 9.5 	 0.1000 	 -0.5993
48 	 9.5 	 0.1000 	 -0.7066
49 	 9.5 	 0.1000 	 -0.6787
50 	 9.9 	 0.1000 	 -0.1339
51 	 9.6 	 0.1000 	 -0.3394
52 	 9.5 	 0.1000 	 -0.5131
53 	 10.0 	 0.1000 	 -0.6400
54 	 9.6 	 0.1000 	 -0.7466
55 	 9.5 	 0.1000 	 -0.7848
56 	 10.0 	 0.1000 	 -0.8535
57 	 9.5 	 0.1000 	 -0.8235
58 	 9.5 	 0.1000 	 -0.9507
59 	 9.5 	 0.1000 	 -1.0442
60 	 10.0 	 0.1000 	 -0.9464
61 	 9.6 	 0.1000 	 -1.0284
62 	 9.6 	 0.1000 	 -1.0806
63 	 10.0 	 0.1000 	 -1.1312
64 	 9.6 	 0.1000 	 -1.1395
65 	 9.6 	 0.1000 	 -1.0927
66 	 10.0 	 0.1000 	 -1.1590
67 	 9.6 	 0.1000 	 -1.3649
68 	 9.6 	 0.1000 	 -1.3097
69 	 9.5 	 0.1000 	 -1.3874
70 	 10.1 	 0.1000 	 -1.3587
71 	 9.7 	 0.1000 	 -1.4354
72 	 9.7 	 0.1000 	 -1.3357
73 	 10.0 	 0.1000 	 -1.5332
74 	 9.5 	 0.1000 	 -1.5852
75 	 9.6 	 0.1000 	 -1.6219
76 	 9.9 	 0.1000 	 -1.6874
77 	 9.5 	 0.1000 	 -1.7125
78 	 9.5 	 0.1000 	 -1.6764
79 	 9.5 	 0.1000 	 -1.7710
80 	 9.9 	 0.1000 	 -1.8165
81 	 9.5 	 0.1000 	 -1.8574
82 	 9.5 	 0.1000 	 -1.9256
83 	 9.9 	 0.1000 	 -1.9542
84 	 9.6 	 0.1000 	 -1.9536
85 	 9.5 	 0.1000 	 -1.9922
86 	 9.9 	 0.1000 	 -2.0568
87 	 9.6 	 0.1000 	 -2.0664
88 	 9.5 	 0.1000 	 -2.0443
89 	 9.5 	 0.1000 	 -2.1606
90 	 10.0 	 0.1000 	 -2.2235
91 	 9.6 	 0.1000 	 -2.2647
92 	 9.5 	 0.1000 	 -2.2853
93 	 9.9 	 0.1000 	 -2.3442
94 	 9.6 	 0.1000 	 -2.4028
95 	 9.5 	 0.1000 	 -2.3079
96 	 10.0 	 0.1000 	 -2.3843
97 	 9.6 	 0.1000 	 -2.4630
98 	 9.5 	 0.1000 	 -2.4788
99 	 9.5 	 0.1000 	 -2.5061
100 	 10.0 	 0.1000 	 -2.4811
101 	 9.5 	 0.1000 	 -2.5756
102 	 9.5 	 0.1000 	 -2.6078
103 	 10.0 	 0.1000 	 -2.7271
104 	 9.5 	 0.1000 	 -2.6218
105 	 9.5 	 0.1000 	 -2.7669
106 	 10.0 	 0.1000 	 -2.7744
107 	 9.5 	 0.1000 	 -2.8013
108 	 9.5 	 0.1000 	 -2.8351
109 	 9.5 	 0.1000 	 -2.8213
110 	 10.0 	 0.1000 	 -2.8086
111 	 9.5 	 0.1000 	 -2.8771
112 	 9.6 	 0.1000 	 -2.9466
113 	 9.9 	 0.1000 	 -2.9702
114 	 9.5 	 0.1000 	 -3.0011
115 	 9.5 	 0.1000 	 -3.0108
116 	 10.0 	 0.1000 	 -2.9956
117 	 9.6 	 0.1000 	 -3.0383
118 	 9.5 	 0.1000 	 -3.0077
119 	 9.5 	 0.1000 	 -3.1190
120 	 10.0 	 0.1000 	 -3.1372
121 	 9.6 	 0.1000 	 -3.1866
122 	 9.5 	 0.1000 	 -3.2526
123 	 10.0 	 0.1000 	 -3.2518
124 	 9.5 	 0.1000 	 -3.3403
125 	 9.6 	 0.1000 	 -3.3172
126 	 10.0 	 0.1000 	 -3.3762
