Namespace(activation='maxmin', batch_size=128, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, opt_level='O2', out_dir='LipConvnet_cifar10_4_soc_32_maxmin_cr0.0', seed=0, weight_decay=0.0005)
Epoch	Seconds	LR	Train Loss	Test Loss	Test Acc
97	63.6	0.1000	0.5198		9.6268		0.1000
98	63.0	0.1000	1.3467		4.9218		0.1000
99	62.1	0.1000	0.8013		4.7218		0.1003
100	62.9	0.0100	0.4474		5.4234		0.1000
101	62.8	0.0100	1.9941		4.6561		0.1240
102	63.0	0.0100	0.0106		4.1704		0.1007
103	62.7	0.0100	-0.4210		5.0888		0.1089
104	62.9	0.0100	-0.1167		4.6642		0.0998
105	62.7	0.0100	-0.3969		4.3021		0.0958
106	63.7	0.0100	1.1990		5.0309		0.1000
107	62.9	0.0100	-0.2383		4.4239		0.1007
108	62.9	0.0100	-0.1424		4.0560		0.1002
109	62.9	0.0100	0.2057		4.7643		0.1000
110	62.9	0.0100	1.4994		4.4497		0.1000
111	63.8	0.0100	-0.3877		4.7596		0.1000
112	63.0	0.0100	0.7280		4.5886		0.0997
113	62.7	0.0100	-0.4178		3.9383		0.0952
114	62.9	0.0100	0.4961		4.0290		0.1000
115	62.9	0.0100	0.0542		4.6960		0.1000
116	63.0	0.0100	-0.2590		4.8689		0.1000
117	63.5	0.0100	0.5107		4.6026		0.1000
118	62.8	0.0100	-0.0902		4.1326		0.1000
119	62.1	0.0100	-0.9887		3.6816		0.0879
120	63.5	0.0100	-0.0128		4.7512		0.1000
121	62.9	0.0100	0.5024		3.8281		0.1034
122	62.8	0.0100	-0.1263		3.6238		0.1051
123	62.9	0.0100	-0.6931		3.0053		0.0788
124	62.9	0.0100	1.4315		3.9815		0.0997
125	62.8	0.0100	-0.8345		3.7778		0.1070
126	62.9	0.0100	1.9381		3.4879		0.1107
127	62.9	0.0100	0.4557		3.7471		0.1366
128	62.8	0.0100	0.1201		3.7065		0.0995
129	63.0	0.0100	1.0136		4.0939		0.0767
130	62.8	0.0100	-2.0078		3.8705		0.0559
131	62.9	0.0100	-2.7738		4.2475		0.0799
132	63.9	0.0100	-7.7080		3.3241		0.1000
133	62.8	0.0100	2.2252		3.4636		0.1001
134	63.9	0.0100	3.2992		3.2878		0.1000
135	62.8	0.0100	-0.7634		3.2578		0.1090
136	63.0	0.0100	2.0644		3.0512		0.1038
137	63.0	0.0100	-1.5255		4.4047		0.1003
138	62.8	0.0100	0.4194		2.9337		0.1023
139	62.1	0.0100	1.5441		2.6875		0.0982
140	62.8	0.0100	0.1790		2.5900		0.0992
141	62.9	0.0100	0.7700		2.7422		0.1004
142	63.1	0.0100	0.6744		2.8525		0.1000
143	63.0	0.0100	0.0386		2.8756		0.0899
144	63.1	0.0100	0.4179		3.4828		0.1000
145	62.8	0.0100	0.1608		3.2668		0.1000
146	63.0	0.0100	0.0168		3.5737		0.0989
147	63.9	0.0100	0.2051		3.2722		0.1000
148	63.0	0.0100	0.4809		3.3317		0.0999
149	63.8	0.0100	0.4630		6.0613		0.1000
150	64.3	0.0010	0.8181		5.2978		0.1000
151	63.8	0.0010	-0.1834		5.2139		0.1000
152	63.7	0.0010	-0.3433		5.4625		0.1000
153	63.6	0.0010	0.6394		5.3742		0.1000
154	63.7	0.0010	0.2532		5.2150		0.1000
155	64.2	0.0010	0.3542		5.2737		0.1000
156	63.9	0.0010	-0.0155		5.5171		0.1000
157	63.9	0.0010	-0.5399		5.6209		0.1000
158	63.6	0.0010	0.1526		5.6990		0.1000
159	62.9	0.0010	0.1533		5.6894		0.1000
160	64.2	0.0010	0.1930		5.8206		0.1000
161	63.9	0.0010	0.3920		5.8663		0.1000
162	64.2	0.0010	-0.5442		5.7366		0.1000
163	64.5	0.0010	-0.7003		5.9672		0.1000
164	64.4	0.0010	0.4168		5.7929		0.1000
165	63.7	0.0010	-0.0044		6.0292		0.1000
166	64.0	0.0010	-0.4425		5.9494		0.1000
167	64.4	0.0010	-1.3238		5.9375		0.1000
168	63.9	0.0010	-0.1716		6.0495		0.1000
169	63.5	0.0010	-0.2387		6.1183		0.1000
170	63.4	0.0010	-0.9489		6.2315		0.1000
171	63.8	0.0010	1.1419		6.1929		0.1000
172	63.8	0.0010	-0.9963		6.1356		0.1000
173	63.9	0.0010	0.0662		6.1058		0.1000
174	63.7	0.0010	0.9869		5.8850		0.1000
175	63.6	0.0010	-0.2311		5.7978		0.1000
176	63.7	0.0010	1.0588		5.6635		0.1000
177	63.6	0.0010	-0.7262		5.6407		0.1000
178	63.8	0.0010	0.0283		5.5282		0.1000
179	62.7	0.0010	-0.2336		5.4393		0.1000
180	63.7	0.0010	0.5012		5.3494		0.1000
181	63.7	0.0010	1.0566		5.1843		0.1000
182	63.7	0.0010	-0.2722		5.2039		0.1000
183	63.4	0.0010	0.4409		5.1421		0.1000
184	63.6	0.0010	0.0270		5.1641		0.1000
185	64.0	0.0010	0.1166		5.2865		0.1000
186	63.8	0.0010	0.2119		5.3683		0.1000
187	63.9	0.0010	0.4673		5.3801		0.1000
188	63.9	0.0010	0.0130		5.3955		0.1000
189	64.0	0.0010	0.2571		5.6410		0.1000
190	63.6	0.0010	-0.1659		5.6725		0.1000
191	63.3	0.0010	-0.1973		5.9291		0.1000
192	63.7	0.0010	0.1826		5.7144		0.1000
193	63.6	0.0010	-2.9706		5.4394		0.1000
194	64.0	0.0010	0.8039		5.5718		0.1000
195	63.5	0.0010	0.2058		5.6671		0.1000
196	63.4	0.0010	-0.3287		5.7304		0.1000
197	63.4	0.0010	1.2805		5.4856		0.1000
198	63.7	0.0010	1.4413		5.2856		0.1000
199	62.8	0.0010	-0.4889		5.1228		0.1000
Total train time: 216.5328 minutes
Best Epoch	Test Loss	Test Acc	Test Time
199		5.1251		0.1000	76.1101
Last Epoch	Test Loss	Test Acc	Test Time
199		5.1251		0.1000	76.2267
